attacker_template,attacker_name,defender_template,defender_name,weight,source,rationale
# ============================================================
# UNIT-SPECIFIC OVERRIDES based on actual INI weapon/armor data
# Assumes cost-proportional groups: cheap units field more bodies vs expensive targets.
# Defenders in small groups (2-3). Attackers in moderate groups scaled by cost ratio.
# DPS = PrimaryDamage / (DelayBetweenShots/1000) * ArmorModifier
# TTK = DefenderHP / (EffectiveDPS * approx_group_size)
# ============================================================

# --- Dragon Tank (FLAME: 10dmg/40ms = 250 raw DPS) ---
# FLAME vs HumanArmor = 150% → 375 effective DPS vs infantry (kills in <0.5s)
# FLAME vs TankArmor = 25% → 62.5 DPS vs tanks
# FLAME vs DragonTankArmor = 0% (immune to own element)
# But Dragon range is only 75 vs tank range 150, so must close distance under fire
ChinaTankDragon,Dragon Tank,AmericaInfantryRanger,Ranger,10,INI-DPS,FLAME 150% vs HumanArmor = 375 DPS; kills 180HP Ranger in 0.48s
ChinaTankDragon,Dragon Tank,AmericaInfantryMissileDefender,Missile Defender,10,INI-DPS,FLAME 150% vs HumanArmor = 375 DPS; kills 100HP MD in 0.27s
ChinaTankDragon,Dragon Tank,ChinaInfantryRedguard,Redguard,10,INI-DPS,FLAME 150% vs HumanArmor = 375 DPS; kills 120HP Redguard in 0.32s
ChinaTankDragon,Dragon Tank,ChinaInfantryTankHunter,Tank Hunter,10,INI-DPS,FLAME 150% vs HumanArmor; instant kill
ChinaTankDragon,Dragon Tank,GLAInfantryRebel,Rebel,10,INI-DPS,FLAME 150% vs HumanArmor; instant kill
ChinaTankDragon,Dragon Tank,GLAInfantryTunnelDefender,Tunnel Defender,10,INI-DPS,FLAME 150% vs HumanArmor; instant kill
ChinaTankDragon,Dragon Tank,GLAInfantryTerrorist,Terrorist,10,INI-DPS,Flame kills Terrorist before it can close; also detonation risk negligible at flame range
ChinaTankDragon,Dragon Tank,GLAInfantryAngryMob,Angry Mob,10,INI-DPS,Flame sweeps entire mob instantly
ChinaTankDragon,Dragon Tank,AmericaTankCrusader,Crusader Tank,3,INI-DPS,FLAME 25% vs TankArmor = 62.5DPS vs 480HP = 7.7s; but range 75 vs 150 means takes heavy fire closing distance
ChinaTankDragon,Dragon Tank,ChinaTankBattleMaster,Battlemaster Tank,3,INI-DPS,Same range disadvantage; Dragon 280HP vs BM 400HP and BM fires AP at 30DPS
ChinaTankDragon,Dragon Tank,GLATankScorpion,Scorpion Tank,4,INI-DPS,FLAME 62.5DPS kills 370HP Scorpion in ~6s; Scorpion AP at range advantage
ChinaTankDragon,Dragon Tank,ChinaTankOverlord,Overlord Tank,1,INI-DPS,FLAME 62.5DPS vs 1100HP = 17.6s; Overlord kills Dragon in ~1s with 267DPS
ChinaTankDragon,Dragon Tank,ChinaTankDragon,Dragon Tank,5,INI-DPS,Mirror; FLAME 0% vs DragonTankArmor so neither can damage the other with primary weapon
