attacker_archetype,defender_archetype,weight,rationale,source
default,default,5,Neutral baseline when no archetype rule exists,seed-default
# Weights derived from actual Weapon.ini damage types vs Armor.ini armor modifiers.
# Assumes COST-PROPORTIONAL groups: cheap units field more bodies vs expensive targets.
# Defenders in small groups (2-3). Attackers in moderate groups scaled by cost ratio.
# Example: 5-6 Missile Defenders ($1500-1800) vs 1 Overlord ($2000) -- not strict 1v1.
#
# SMALL_ARMS: 100% vs HumanArmor 25% vs TankArmor 50% vs TruckArmor 120% vs AirplaneArmor
# INFANTRY_MISSILE: 10% vs HumanArmor 100% vs TankArmor 50% vs TruckArmor 120% vs AirplaneArmor
# ARMOR_PIERCING: 10% vs HumanArmor 100% vs TankArmor
# FLAME: 150% vs HumanArmor 25% vs TankArmor 0% vs DragonTankArmor
# GATTLING: 100% vs HumanArmor 10% vs TankArmor 120% vs AirplaneArmor
# SNIPER/FLESHY_SNIPER: 200% vs HumanArmor 1%/0% vs TankArmor
# EXPLOSION: 100% vs HumanArmor 100% vs TankArmor 100% vs StructureArmor
# JET_MISSILES: 25% vs BaseDefenseArmor 25% vs AirplaneArmor 30% vs AntiAirVehicle
# STEALTHJET_MISSILES: 250% vs BaseDefenseArmor
# COMANCHE_VULCAN: 100% vs HumanArmor 25% vs TankArmor 50% vs TruckArmor
# KILL_PILOT: 0% vs HumanArmor 100% vs TankArmor
#
# infantry_rifle ($150-300): Rangers(180HP 50DPS) Rebels(120HP 50DPS) RedGuard(120HP 15DPS)
# Typical group: 4-8 vs a single expensive unit
infantry_rifle,infantry_rifle,5,Mirror matchup; equal damage type effectiveness,INI-DPS
infantry_rifle,infantry_rocket,8,SMALL_ARMS 100% vs HumanArmor; INFANTRY_MISSILE only 10%. Rifles kill rockets ~10x faster,INI-DPS
infantry_rifle,infantry_elite,3,Snipers one-shot infantry but groups overwhelm; 4+ rifles can rush a single elite,INI-cost
infantry_rifle,vehicle_light,4,SMALL_ARMS 50% vs TruckArmor; 3 rifles ($675) vs Humvee ($700) can overwhelm with focus fire,INI-cost
infantry_rifle,vehicle_anti_air,3,Gatling/Quad shred infantry fast but a cost-matched group (3-4 rifles) trades reasonably,INI-cost
infantry_rifle,tank_medium,3,SMALL_ARMS 25% vs TankArmor is poor but 4 Rangers ($900) = 50DPS total to tank; overwhelm through bodies before crush clears all,INI-cost
infantry_rifle,tank_heavy,2,8+ Rangers ($1800) = 100DPS at 25% modifier vs 1100HP; still slow but cost-matched rifles do threaten with mass. Overlord splash/crush thins group fast,INI-cost
infantry_rifle,artillery,4,Cost-matched rifle group can rush fragile artillery; but artillery splash punishes infantry groups harder than singles,INI-cost
infantry_rifle,air_helicopter,2,SMALL_ARMS 120% vs ComancheArmor; group of rifles puts out real volume but helicopter kites and picks off,INI-cost
infantry_rifle,air_plane,0,Even in groups cannot meaningfully threaten aircraft on a pass,INI-DPS
infantry_rifle,suicide,7,Rifle group focus-fires Terrorists before they close; more rifles = more interception,INI-DPS
infantry_rifle,base_defense,1,SMALL_ARMS 50% vs StructureArmor; even in groups very slow siege vs high HP,INI-DPS
#
# infantry_rocket ($300): MissileDefender(100HP 40DPS) TankHunter(100HP 40DPS) TunnelDefender(100HP 40DPS)
# Typical group: 3-6 vs tanks
infantry_rocket,infantry_rifle,2,INFANTRY_MISSILE 10% vs HumanArmor = ~4 DPS each; rifle infantry shreds rockets regardless of group size,INI-DPS
infantry_rocket,infantry_rocket,5,Mirror matchup; both deal 10% to each other,INI-DPS
infantry_rocket,infantry_elite,2,INFANTRY_MISSILE 10% vs HumanArmor; elites dominate even vs small rocket groups,INI-DPS
infantry_rocket,vehicle_light,5,2 MDs ($600) vs Humvee ($700); 40DPS combined at 50% = decent. Vehicle gun kills 1 MD fast but second finishes it,INI-cost
