attacker_template,attacker_name,attacker_archetype,defender_template,defender_name,defender_archetype,defender_cluster_tier,base_weight,weight,basis,source,rationale
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,AmericaInfantryPathfinder,Pathfinder,infantry_elite,easy,5,5,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,AmericaPatriotBattery,Patriot Missile,base_defense,medium,2,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,AmericaTankCrusader,Crusader,tank_medium,medium,6,5,override,INI-DPS,SMALL_ARMS 25% vs TankArmor = 100DPS; kills 480HP in 4.8s. Plus C4 charges
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,AmericaTankPaladin,Paladin,tank_heavy,hard,1,1,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,AmericaVehicleChinook,Chinook,support,hard,5,3,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,AmericaVehicleComanche,Comanche,air_helicopter,hard,1,1,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,AmericaVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,AmericaVehicleHumvee,Humvee,vehicle_light,easy,3,3,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,AmericaVehicleMedic,Ambulance,vehicle_light,medium,3,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,AmericaVehicleTomahawk,Tomahawk,artillery,medium,3,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,ChinaBunker,Bunker,base_defense,medium,2,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,ChinaGattlingCannon,Gattling Cannon,base_defense,medium,2,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,ChinaTankBattleMaster,Battlemaster,tank_medium,medium,2,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,ChinaTankDragon,Dragon Tank,tank_medium,medium,2,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,ChinaTankGattling,Gattling Tank,vehicle_anti_air,medium,2,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,ChinaTankOverlord,Overlord,tank_heavy,hard,5,3,override,INI-DPS,100DPS vs 1100HP = 11s; C4 more practical. But Overlord fires fast and can crush
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,ChinaVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,ChinaVehicleInfernoCannon,Inferno Cannon,artillery,medium,3,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,ChinaVehicleNukeLauncher,Nuke Cannon,artillery,medium,3,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,GLAInfantryAngryMobNexus,<<ANGRY M0B>>,infantry_rifle,easy,8,7,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,GLAInfantryWorker,Worker,infantry_rifle,easy,8,7,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,GLAStingerSite,Stinger Site,base_defense,medium,2,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,GLATankMarauder,Marauder Tank,tank_heavy,hard,1,1,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,GLATankScorpion,Scorpion,tank_medium,medium,2,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,GLATunnelNetwork,Tunnel Network,base_defense,medium,2,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,GLAVehicleBombTruck,Bomb Truck,suicide,easy,4,4,override,INI-DPS,SMALL_ARMS 50% vs TruckArmor = 200DPS vs 250HP = 1.25s; but Bomb Truck detonation risk
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,GLAVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,GLAVehicleQuadCannon,Quad Cannon,vehicle_anti_air,medium,2,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,GLAVehicleRocketBuggy,Rocket Buggy,artillery,medium,3,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,GLAVehicleScudLauncher,SCUD Launcher,artillery,medium,3,2,archetype_matrix,,
AmericaInfantryColonelBurton,Colonel Burton,infantry_elite,GLAVehicleTechnical,Technical,vehicle_light,easy,3,3,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,AmericaInfantryPathfinder,Pathfinder,infantry_elite,easy,2,2,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,AmericaPatriotBattery,Patriot Missile,base_defense,medium,6,5,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,AmericaTankCrusader,Crusader,tank_medium,medium,7,6,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,AmericaTankPaladin,Paladin,tank_heavy,hard,6,4,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,AmericaVehicleChinook,Chinook,support,hard,5,3,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,AmericaVehicleComanche,Comanche,air_helicopter,hard,6,4,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,AmericaVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,AmericaVehicleHumvee,Humvee,vehicle_light,easy,5,5,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,AmericaVehicleMedic,Ambulance,vehicle_light,medium,5,4,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,AmericaVehicleTomahawk,Tomahawk,artillery,medium,7,6,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,ChinaBunker,Bunker,base_defense,medium,6,5,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,ChinaGattlingCannon,Gattling Cannon,base_defense,medium,6,5,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,ChinaTankBattleMaster,Battlemaster,tank_medium,medium,7,6,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,ChinaTankDragon,Dragon Tank,tank_medium,medium,6,5,override,INI-cost,2-3 MDs ($600-900 vs $800) at INFANTRY_MISSILE 20% to DragonTankArmor; Dragon must close to 75 range giving MDs time to fire
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,ChinaTankGattling,Gattling Tank,vehicle_anti_air,medium,5,4,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,ChinaTankOverlord,Overlord,tank_heavy,hard,6,4,override,INI-cost,5-6 MDs ($1500-1800 vs $2000) do 200-240DPS at 100%; kill Overlord in ~5s losing 1-2 MDs. Group-scale counter
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,ChinaVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,ChinaVehicleInfernoCannon,Inferno Cannon,artillery,medium,7,6,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,ChinaVehicleNukeLauncher,Nuke Cannon,artillery,medium,7,6,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,GLAInfantryAngryMobNexus,<<ANGRY M0B>>,infantry_rifle,easy,2,2,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,GLAInfantryWorker,Worker,infantry_rifle,easy,2,2,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,GLAStingerSite,Stinger Site,base_defense,medium,6,5,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,GLATankMarauder,Marauder Tank,tank_heavy,hard,6,4,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,GLATankScorpion,Scorpion,tank_medium,medium,7,6,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,GLATunnelNetwork,Tunnel Network,base_defense,medium,6,5,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,GLAVehicleBombTruck,Bomb Truck,suicide,easy,4,4,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,GLAVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,GLAVehicleQuadCannon,Quad Cannon,vehicle_anti_air,medium,5,4,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,GLAVehicleRocketBuggy,Rocket Buggy,artillery,medium,7,6,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,GLAVehicleScudLauncher,SCUD Launcher,artillery,medium,7,6,archetype_matrix,,
AmericaInfantryMissileDefender,Missile Defender,infantry_rocket,GLAVehicleTechnical,Technical,vehicle_light,easy,5,5,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,AmericaPatriotBattery,Patriot Missile,base_defense,medium,2,2,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,AmericaTankCrusader,Crusader,tank_medium,medium,0,0,override,INI-DPS,FLESHY_SNIPER 0% vs TankArmor; literally zero damage
AmericaInfantryPathfinder,Pathfinder,infantry_elite,AmericaTankPaladin,Paladin,tank_heavy,hard,1,1,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,AmericaVehicleChinook,Chinook,support,hard,5,3,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,AmericaVehicleComanche,Comanche,air_helicopter,hard,1,1,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,AmericaVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,AmericaVehicleHumvee,Humvee,vehicle_light,easy,0,0,override,INI-DPS,FLESHY_SNIPER 0% vs TruckArmor/AntiAirVehicle
AmericaInfantryPathfinder,Pathfinder,infantry_elite,AmericaVehicleMedic,Ambulance,vehicle_light,medium,3,2,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,AmericaVehicleTomahawk,Tomahawk,artillery,medium,3,2,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,ChinaBunker,Bunker,base_defense,medium,2,2,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,ChinaGattlingCannon,Gattling Cannon,base_defense,medium,2,2,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,ChinaTankBattleMaster,Battlemaster,tank_medium,medium,0,0,override,INI-DPS,FLESHY_SNIPER 0% vs TankArmor
AmericaInfantryPathfinder,Pathfinder,infantry_elite,ChinaTankDragon,Dragon Tank,tank_medium,medium,2,2,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,ChinaTankGattling,Gattling Tank,vehicle_anti_air,medium,2,2,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,ChinaTankOverlord,Overlord,tank_heavy,hard,0,0,override,INI-DPS,FLESHY_SNIPER 0% vs TankArmor
AmericaInfantryPathfinder,Pathfinder,infantry_elite,ChinaVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,ChinaVehicleInfernoCannon,Inferno Cannon,artillery,medium,3,2,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,ChinaVehicleNukeLauncher,Nuke Cannon,artillery,medium,3,2,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,GLAInfantryAngryMobNexus,<<ANGRY M0B>>,infantry_rifle,easy,8,7,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,GLAInfantryWorker,Worker,infantry_rifle,easy,8,7,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,GLAStingerSite,Stinger Site,base_defense,medium,2,2,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,GLATankMarauder,Marauder Tank,tank_heavy,hard,1,1,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,GLATankScorpion,Scorpion,tank_medium,medium,0,0,override,INI-DPS,FLESHY_SNIPER 0% vs TankArmor
AmericaInfantryPathfinder,Pathfinder,infantry_elite,GLATunnelNetwork,Tunnel Network,base_defense,medium,2,2,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,GLAVehicleBombTruck,Bomb Truck,suicide,easy,6,5,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,GLAVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,GLAVehicleQuadCannon,Quad Cannon,vehicle_anti_air,medium,2,2,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,GLAVehicleRocketBuggy,Rocket Buggy,artillery,medium,3,2,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,GLAVehicleScudLauncher,SCUD Launcher,artillery,medium,3,2,archetype_matrix,,
AmericaInfantryPathfinder,Pathfinder,infantry_elite,GLAVehicleTechnical,Technical,vehicle_light,easy,0,0,override,INI-DPS,FLESHY_SNIPER 0% vs TruckArmor
AmericaInfantryRanger,Ranger,infantry_rifle,AmericaInfantryPathfinder,Pathfinder,infantry_elite,easy,3,3,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,AmericaPatriotBattery,Patriot Missile,base_defense,medium,2,2,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,AmericaTankCrusader,Crusader,tank_medium,medium,3,2,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,AmericaTankPaladin,Paladin,tank_heavy,hard,2,1,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,AmericaVehicleChinook,Chinook,support,hard,5,3,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,AmericaVehicleComanche,Comanche,air_helicopter,hard,2,1,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,AmericaVehicleDozer,Construction Dozer,support,easy,5,5,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,AmericaVehicleHumvee,Humvee,vehicle_light,easy,4,4,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,AmericaVehicleMedic,Ambulance,vehicle_light,medium,4,3,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,AmericaVehicleTomahawk,Tomahawk,artillery,medium,4,3,archetype_matrix,,
AmericaInfantryRanger,Ranger,infantry_rifle,ChinaBunker,Bunker,base_defense,medium,2,2,archetype_matrix,,
