# Filtered dump - spawnable units/buildings only
# name	unit|building
AirF_AmericaAirfield	building
AirF_AmericaFireBase	building
AirF_AmericaParticleCannonUplink	building
AirF_AmericaPatriotBattery	building
AirF_AmericaStrategyCenter	building
AirF_AmericaSupplyDropZone	building
AirF_AmericaWarFactory	building
AmericaAirfield	building
AmericaCheckpoint	building
AmericaFireBase	building
AmericaParticleCannonUplink	building
AmericaPatriotBattery	building
AmericaStrategyCenter	building
AmericaSupplyDropZone	building
AmericaWall	building
AmericaWallHub	building
AmericaWarFactory	building
Chem_GLAArmsDealer	building
Chem_GLABlackMarket	building
Chem_GLADemoTrap	building
Chem_GLAPalace	building
Chem_GLAScudStorm	building
Chem_GLAStingerSite	building
Chem_GLATunnelNetwork	building
ChinaAirfield	building
ChinaBunker	building
ChinaGattlingCannon	building
ChinaMoat	building
ChinaNuclearMissileLauncher	building
ChinaPropagandaCenter	building
ChinaSpeakerTower	building
ChinaWall	building
ChinaWallHub	building
ChinaWarFactory	building
Demo_GLAArmsDealer	building
Demo_GLABlackMarket	building
Demo_GLADemoTrap	building
Demo_GLAPalace	building
Demo_GLAScudStorm	building
Demo_GLAStingerSite	building
Demo_GLATunnelNetwork	building
GLAArmsDealer	building
GLABlackMarket	building
GLABurningBarrier	building
GLADemoTrap	building
GLAPalace	building
GLAScudStorm	building
GLAStingerSite	building
GLATrap	building
GLATunnelNetwork	building
GLATunnelNetworkNoSpawn	building
GLAWall	building
GLAWallHub	building
Infa_ChinaAirfield	building
Infa_ChinaBunker	building
Infa_ChinaGattlingCannon	building
Infa_ChinaNuclearMissileLauncher	building
Infa_ChinaPropagandaCenter	building
Infa_ChinaSpeakerTower	building
Infa_ChinaWarFactory	building
Lazr_AmericaAirfield	building
Lazr_AmericaFireBase	building
Lazr_AmericaParticleCannonUplink	building
Lazr_AmericaPatriotBattery	building
Lazr_AmericaStrategyCenter	building
Lazr_AmericaSupplyDropZone	building
Lazr_AmericaWarFactory	building
Nuke_ChinaAirfield	building
Nuke_ChinaBunker	building
Nuke_ChinaGattlingCannon	building
Nuke_ChinaNuclearMissileLauncher	building
Nuke_ChinaPropagandaCenter	building
Nuke_ChinaSpeakerTower	building
Nuke_ChinaWarFactory	building
Slth_GLAArmsDealer	building
Slth_GLABlackMarket	building
Slth_GLADemoTrap	building
Slth_GLAPalace	building
Slth_GLAScudStorm	building
Slth_GLAStingerSite	building
Slth_GLATunnelNetwork	building
SupW_AmericaAirfield	building
SupW_AmericaFireBase	building
SupW_AmericaParticleCannonUplink	building
SupW_AmericaPatriotBattery	building
SupW_AmericaStrategyCenter	building
SupW_AmericaSupplyDropZone	building
SupW_AmericaWarFactory	building
Tank_ChinaAirfield	building
Tank_ChinaBunker	building
Tank_ChinaGattlingCannon	building
Tank_ChinaNuclearMissileLauncher	building
Tank_ChinaPropagandaCenter	building
Tank_ChinaSpeakerTower	building
Tank_ChinaWarFactory	building
AirF_AmericaInfantryColonelBurton	unit
AirF_AmericaInfantryPathfinder	unit
AirF_AmericaInfantryPilot	unit
AirF_AmericaJetA10Thunderbolt	unit
AirF_AmericaJetAurora	unit
AirF_AmericaJetB52	unit
AirF_AmericaJetCargoPlane	unit
AirF_AmericaJetRaptor	unit
AirF_AmericaJetStealthFighter	unit
AirF_AmericaVehicleBattleDrone	unit
AirF_AmericaVehicleComanche	unit
AirF_AmericaVehicleHumvee	unit
AirF_AmericaVehicleMedic	unit
AirF_AmericaVehicleScoutDrone	unit
AirF_AmericaVehicleSpyDrone	unit
AirF_AmericaVehicleTomahawk	unit
AmericaInfantryColonelBurton	unit
AmericaInfantryOfficer	unit
AmericaInfantryPathfinder	unit
AmericaInfantryPilot	unit
AmericaInfantrySecretService	unit
AmericaJetA10Thunderbolt	unit
AmericaJetAurora	unit
AmericaJetB52	unit
AmericaJetCargoPlane	unit
AmericaJetRaptor	unit
AmericaJetStealthFighter	unit
AmericaTankCrusader	unit
